BusinessId,BusinessName,CreatedByUserId,CreatedAt
1,Coop Mega,6,2022-02-21 22:13:12.710000000
2,Samskipnaden,6,2022-02-26 12:25:14.520000000
3,MyCall,6,2022-02-26 12:53:03.170000000
4,Rema 1000,6,2022-02-26 12:55:17.333000000
5,Vipps,6,2022-02-26 13:15:20.997000000
6,Spar,6,2022-02-26 13:25:19.687000000
7,Biltema,6,2022-02-26 13:30:46.917000000
8,Apotek1,6,2022-02-26 13:31:39.240000000
9,Elkjøp,6,2022-02-26 13:32:30.280000000
10,Molde Legesenter,6,2022-02-26 13:38:25.573000000
11,Europris,6,2022-02-26 13:41:19
12,EasyPark,6,2022-02-26 13:42:28.030000000
13,Too Good To Go,6,2022-02-26 13:43:16.053000000
14,Jula,6,2022-02-26 13:49:43.167000000
15,Clas Ohlson,6,2022-02-26 13:50:37.763000000
16,Asia Market,6,2022-02-26 13:52:54.970000000
17,Ivar Brekke,6,2022-02-26 13:56:17.520000000
18,Circle K,6,2022-02-26 13:57:52.803000000
19,Kiwi,6,2022-02-26 13:58:26.193000000
20,Agva Kraft AS,6,2022-02-26 14:02:13.710000000
21,Norli,6,2022-02-26 14:10:44.800000000
22,Zalando,6,2022-02-26 14:12:23.480000000
23,Wise Consulting AS,6,2022-02-26 14:15:09.570000000
24,Elinett AS,6,2022-02-26 14:16:00.487000000
25,Coop Prix,6,2022-02-26 14:17:25.123000000
26,Tapp Og Krok,6,2022-02-26 14:18:15.453000000
27,Rupak Katwal,6,2022-02-26 14:20:12.083000000
28,Burger King,6,2022-02-26 14:23:10.620000000
29,Kid,6,2022-02-26 14:24:34.993000000
30,Proshop,6,2022-02-26 14:28:02.333000000
31,Unknown,6,2022-02-26 14:28:53.003000000
10022,Møre Og Romsdal Taxi Kristiansund,6,2022-02-26 17:01:36.470000000
10023,Pizzabakeren,6,2022-02-26 17:02:17.787000000
10024,A Person from Finn,6,2022-02-26 17:03:25.570000000
10025,Kraft Sportssenter Narvik,6,2022-02-26 17:06:30.267000000
10026,Football leader,6,2022-02-26 17:13:44.953000000
10027,Jan Einar,6,2022-02-26 17:22:35.690000000
10028,Sparebank 68,6,2022-03-06 19:59:47.477000000
10029,Sabrura,6,2022-03-06 20:01:27.860000000
10030,Norwegian Air,6,2022-03-12 12:14:42.227000000
10031,CopyCat,6,2022-03-12 12:24:58.280000000
10032,Iran's embassy in Oslo,6,2022-03-12 12:33:49.317000000
10033,Persian Classic Restaurant,6,2022-03-12 12:37:04.337000000
10034,VY,6,2022-03-12 12:38:42.737000000
10035,Elite,6,2022-03-12 15:32:40.723000000
10036,Kafferiet AS,6,2022-03-12 15:34:24.653000000
10037,UiT Financial Support,6,2022-03-12 15:37:59
10038,Cash From Iran,6,2022-03-12 15:40:49.487000000
10039,Money from Iran,6,2022-03-12 15:42:19.333000000
10040,IKT Smia AS,6,2022-03-12 15:45:34.373000000
10041,UiT Student Assistant,6,2022-03-12 15:53:24.203000000
10042,UiT Researcher,6,2022-03-12 15:58:43.270000000
10043,Bunnpris,6,2022-03-16 22:36:26.943000000
10044,Norsk Tipping,6,2022-03-19 11:48:31.400000000
10045,Vinmonopolet,6,2022-04-02 23:45:07.663000000
10046,HBO, Spotify, and Amazon,6,2022-04-09 12:45:01.867000000
10047,Tryg,6,2022-04-09 12:48:47.747000000
10048,Kristoffer Eidså,6,2022-04-09 12:49:30.590000000
