CategoryId,CategoryName,CategoryPriority,CreatedAt,CreatedByUserId,MonthlyLimit,WeeklyLimit
1,Groceries,2,2022-02-19 22:35:37.480000000,6,2400,600
2,Income - Deposit,2,2022-02-19 22:50:49.987000000,6,,
3,Unknown,6,2022-02-19 22:51:36.610000000,6,,
4,Electronics,3,2022-02-19 22:53:15.603000000,6,,
5,Households,3,2022-02-19 22:55:08.230000000,6,,
6,Car,2,2022-02-19 22:56:18.787000000,6,1000,
7,Health,1,2022-02-19 22:58:12.877000000,6,,
8,Eating Out,5,2022-02-19 22:58:37.853000000,6,600,150
9,Parking,3,2022-02-19 23:00:04.960000000,6,,
10,Transfer fee,2,2022-02-19 23:02:08.333000000,6,,
11,Rent,1,2022-02-19 23:02:53.043000000,6,8900,
12,Income - Salary,1,2022-02-19 23:03:57.467000000,6,,
13,Fun,5,2022-02-19 23:04:07.057000000,6,,
14,Transportation,3,2022-02-19 23:04:26.470000000,6,,
15,Electricity,1,2022-02-19 23:05:11.437000000,6,2100,
16,Training Fee,2,2022-02-19 23:06:42.303000000,6,,
18,Phone,3,2022-02-26 12:52:02.713000000,6,,
19,Person From Finn,3,2022-02-26 13:09:19.853000000,6,,
20,Clothes,3,2022-02-26 14:11:30.680000000,6,,
10020,Charity,4,2022-02-26 17:21:57.740000000,6,,
10021,Bank Fee,2,2022-03-06 19:54:28.953000000,6,,
10022,Printing,3,2022-03-12 12:23:52.623000000,6,,
10023,Passport Renewal Fee,1,2022-03-12 12:33:12.420000000,6,,
10024,Military Exemption Fee,1,2022-03-12 12:34:26.477000000,6,,
10025,Betting,5,2022-03-19 11:47:33.987000000,6,,
10027,Saving,1,2022-03-19 12:46:51.317000000,6,9000,
10028,Membership Fee,3,2022-04-09 12:43:48.380000000,6,,
10029,Insurance,1,2022-04-09 12:46:57.297000000,6,,
