PaymentTotalId,Title,BusinessId,Price,Date,IsDeposit,CreatedAt,CreatedByUserId
1,Expenses of October 2019 ,,3691.23,2019-10-01 00:00:00,False,2022-03-06 00:10:49.040000000,6
2,November 2019 Expenditures,,5574.4499999999998,2019-11-01 00:00:00,False,2022-03-12 14:49:05.260000000,6
3,December 2019 Expenditures,,3381.1900000000001,2019-12-01 00:00:00,False,2022-03-12 14:50:02.167000000,6
4,January 2020 Expenditures,,7472.4799999999996,2020-01-01 00:00:00,False,2022-03-12 14:50:38.147000000,6
5,February 2020 Expenditures,,6897.5100000000002,2020-02-01 00:00:00,False,2022-03-12 14:51:39.223000000,6
6,March 2020 Expenditures,,9017.2700000000004,2020-03-01 00:00:00,False,2022-03-12 14:52:07.433000000,6
7,April 2020 Expenditures,,7248.6499999999996,2020-04-01 00:00:00,False,2022-03-12 14:52:37.263000000,6
8,May 2020 Expenditures,,3530.9200000000001,2020-05-01 00:00:00,False,2022-03-12 14:53:20.053000000,6
9,June 2020 Expenditures,,8199.0699999999997,2020-06-01 00:00:00,False,2022-03-12 14:54:05.573000000,6
10,July 2020 Expenditures,,4144.6899999999996,2020-07-01 00:00:00,False,2022-03-12 14:54:42.630000000,6
11,August 2020 Expenditures,,17941.98,2020-08-01 00:00:00,False,2022-03-12 14:55:21.347000000,6
12,September 2020 Expenditures,,11793.25,2020-09-01 00:00:00,False,2022-03-12 14:56:03.720000000,6
13,October 2020 Expenditures,,6079.5600000000004,2020-10-01 00:00:00,False,2022-03-12 14:56:23.643000000,6
14,November 2020 Expenditures,,12293.68,2020-11-01 00:00:00,False,2022-03-12 14:57:05.190000000,6
15,December 2020 Expenditures,,12789.540000000001,2020-12-01 00:00:00,False,2022-03-12 14:57:24.383000000,6
16,January 2021 Expenditures,,10701.629999999999,2021-01-01 00:00:00,False,2022-03-12 14:58:29.010000000,6
17,February 2021 Expenditures,,9841.9099999999999,2021-02-01 00:00:00,False,2022-03-12 14:59:01.077000000,6
18,March 2021 Expenditures,,9757.7600000000002,2021-03-01 00:00:00,False,2022-03-12 14:59:27.690000000,6
19,April 2021 Expenditures,,6990.1700000000001,2021-04-01 00:00:00,False,2022-03-12 15:00:14.183000000,6
20,May 2021 Expenditures,,7066.96,2021-05-01 00:00:00,False,2022-03-12 15:01:10.633000000,6
21,June 2021 Expenditures,,20839.740000000002,2021-06-01 00:00:00,False,2022-03-12 15:01:47.807000000,6
